100,110,120,130,140,150,160,170,180,200,250,260,300,350,360,40,400,410,50,500,510,60,600,70,700,710,900,month,por,value0,value1,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value2,value20,value3,value4,value5,value6,value7,value8,value9,y0,y1,y2,y3,y4,y5,y6,y7,year,Н1.0,Н1.1,Н1.2,Н10.1,Н12,Н2,Н3,Н4,Н7,Н9.1
422268278.0,18125204.0,78482712.0,302772.0,28437957.0,59328.0,220166.0,4131744.0,16216360.0,50866935.0,564566.0,898186.0,225425100.0,2155005.0,118917.0,276292035.0,29545871.0,13417301.0,1017103.0,203880651.0,44882518.0,29545871.0,111231798.0,28800057.0,218388.0,50500.0,875827.0,3,3,3603.3,101.2,2942,15.4,5.3,6.6,13080.4,3487.6,10.5,788.4,416.7,1340.5,100.7,24.0023,54.0,15.6,34.5,18.9,2.9,25.4,962.6,0,0,0,0,0,0,0,0,2008,-100.0,-100.0,-100.0,-100.0,-100.0,-10.0,-10.0,-10.0,-10000.0,-100.0
393079034.0,15115200.0,44167900.0,302810.0,25716323.0,59328.0,220166.0,4112670.0,14959436.0,53285109.0,601097.0,920239.0,235140092.0,2891719.0,156647.0,288425201.0,30233560.0,13894012.0,1076886.0,175072688.0,42666774.0,30233560.0,110578312.0,26078461.0,209953.0,50500.0,3132500.0,4,4,3137.73333333,101.2,2900,16.2,4.9,6.4,13382.9,3475.5,10.5,816.8,602.3,1931.8,100.7,23.5027,56.8,21.2,35.7,14.5,4.2,0.2,1047.5,0,0,0,0,0,0,0,0,2008,-100.0,-100.0,-100.0,-100.0,-100.0,-10.0,-10.0,-10.0,-10000.0,-100.0
413892460.0,17748922.0,48128641.0,302800.0,22064266.0,59328.0,220166.0,4126753.0,15194009.0,57150726.0,616977.0,1046446.0,248896849.0,2048555.0,169774.0,306047575.0,31093992.0,14793922.0,1216220.0,181722555.0,37551576.0,31093992.0,115565737.0,22426394.0,129782.0,50500.0,4011786.0,5,5,3137.73333333,101.4,2575,16.5,4.5,6.6,13347.7,3601.4,10.5,837.8,1084.4,3024.9,104.5,23.6588,63.3,23.4,39.9,16.5,1.0,10.2,1075.0,0,0,0,0,0,0,0,0,2008,-100.0,-100.0,-100.0,-100.0,-100.0,-10.0,-10.0,-10.0,-10000.0,-100.0
410108210.0,9571637.0,43434437.0,302800.0,21393750.0,59328.0,220166.0,4391602.0,15776122.0,60642108.0,656396.0,1100426.0,254316260.0,1931163.0,234812.0,314958368.0,31525027.0,14753629.0,1335238.0,179219680.0,37129707.0,31525027.0,109029235.0,21755878.0,135032.0,50500.0,4767049.0,6,6,3137.73333333,101.4,2794,16.6,4.1,6.4,13724.5,3656.2,10.8,820.0,1329.5,3700.6,103.5,23.7473,65.7,25.4,40.2,14.8,-0.6,-5.3,1113.9,0,0,0,0,0,0,0,0,2008,-100.0,-100.0,-100.0,-100.0,-100.0,-10.0,-10.0,-10.0,-10000.0,-100.0
439386829.0,16606433.0,43324886.0,302801.0,20909812.0,59328.0,220166.0,4340324.0,23056515.0,63562836.0,689086.0,1240740.0,267003728.0,1673798.0,319346.0,330566564.0,31535735.0,14931055.0,1560086.0,191503596.0,40211866.0,31535735.0,124553345.0,21271941.0,133639.0,50500.0,5845761.0,7,7,3410.33333333,101.0,2859,17.7,4.2,6.2,14244.7,3724.9,11.0,851.8,1405.2,4369.0,104.9,23.4068,67.1,24.5,42.6,18.1,5.4,5.0,1137.0,0,0,0,0,0,0,0,0,2008,-100.0,-100.0,-100.0,-100.0,-100.0,-10.0,-10.0,-10.0,-10000.0,-100.0
463306306.0,21771031.0,54069412.0,302779.0,20497563.0,59328.0,220166.0,4305306.0,17884853.0,67778006.0,717368.0,1396914.0,276417862.0,2904675.0,443420.0,344195868.0,31239819.0,15241246.0,1840334.0,180407792.0,41700308.0,31239819.0,153935283.0,20859670.0,131639.0,50500.0,7600648.0,8,8,3410.33333333,100.5,2590,17.8,4.3,5.3,14210.0,3807.2,11.0,863.7,2168.3,5677.4,105.4,23.4186,69.4,25.5,43.8,18.3,0.0,2.5,1185.4,0,0,0,0,0,0,0,0,2008,-100.0,-100.0,-100.0,-100.0,-100.0,-10.0,-10.0,-10.0,-10000.0,-100.0
498158502.0,28147305.0,52565809.0,302766.0,19967571.0,59328.0,315046.0,4315104.0,20373504.0,72366586.0,745374.0,1583168.0,299745483.0,3052892.0,1006661.0,372112069.0,31749002.0,15682220.0,2589829.0,199437454.0,37274263.0,31749002.0,168880152.0,20329665.0,133491.0,50500.0,7828949.0,9,9,3410.33333333,100.4,2956,17.2,4.5,5.3,14530.1,3887.4,11.0,833.5,2405.3,6405.1,100.5,24.666999999999998,76.0,28.6,47.3,18.7,-2.8,2.6,1229.1,0,0,0,0,0,0,0,0,2008,-100.0,-100.0,-100.0,-100.0,-100.0,-10.0,-10.0,-10.0,-10000.0,-100.0
528457569.0,43439525.0,72790347.0,302770.0,19895031.0,59328.0,315046.0,4426024.0,13724487.0,75982336.0,782056.0,1731639.0,297522675.0,3632397.0,1075789.0,373505011.0,30387858.0,14903897.0,2807428.0,201020851.0,44123405.0,30387858.0,184398655.0,20257129.0,121773.0,50500.0,9134018.0,10,10,3655.2,100.8,3017,17.7,4.7,5.3,14374.6,3904.2,11.0,871.2,2652.3,7151.3,95.0,25.3718,72.7,27.1,45.7,18.6,2.1,-7.7,1243.2,0,0,0,0,0,0,0,0,2008,-100.0,-100.0,-100.0,-100.0,-100.0,-10.0,-10.0,-10.0,-10000.0,-100.0
586140712.0,44617887.0,115858258.0,123030.0,18717040.0,59328.0,315046.0,4454098.0,15621083.0,79175437.0,812964.0,1791969.0,307199505.0,2231391.0,1345908.0,386374942.0,26321667.0,13193145.0,3137877.0,182401392.0,38985951.0,26321667.0,241483337.0,18899398.0,405523.0,50500.0,10829274.0,11,11,3655.2,100.9,4024,17.6,5.0,6.1,13519.7,3962.2,12.0,915.9,2885.5,8093.3,93.4,27.0981,71.0,27.2,43.8,16.6,-1.4,-0.5,1278.0,0,0,0,0,0,0,0,0,2008,-100.0,-100.0,-100.0,-100.0,-100.0,-10.0,-10.0,-10.0,-10000.0,-100.0
544588414.0,20220866.0,96340887.0,123049.0,18985095.0,59328.0,315046.0,4430873.0,14071768.0,78776681.0,792714.0,1978549.0,311264821.0,3440243.0,1814679.0,390041502.0,26690207.0,12775365.0,3793228.0,177389968.0,36084050.0,26690207.0,242151908.0,19167472.0,408383.0,50500.0,12312559.0,12,12,3655.2,100.8,7765,17.6,5.3,6.6,13226.2,3793.1,13.0,977.1,2629.3,8663.9,91.6,27.9409,66.5,27.5,39.1,11.6,-1.1,2.2,1244.9,0,0,0,0,0,0,0,0,2008,-100.0,-100.0,-100.0,-100.0,-100.0,-10.0,-10.0,-10.0,-10000.0,-100.0
